1530615600000
step: 352, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 352, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.3820706402
step: 353, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.2071765967
step: 353, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 353, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.4445445791
step: 354, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.3017195026
step: 354, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 354, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.5388327416
step: 355, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.3898068591
step: 355, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 355, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.626683631
step: 356, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.4891842447
step: 356, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 356, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.7257952578
step: 357, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.55078585
step: 357, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 357, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.7872326637
step: 358, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.6281047288
step: 358, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 358, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.8643460287
step: 359, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.7170932875
step: 359, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 359, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.953098851
step: 360, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.8120539057
step: 360, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 360, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.0478088467
step: 361, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.9014035145
step: 361, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 361, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 48.1369235177
step: 362, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.9771159939
